GEO_ID|B25077_E001|B25077_M001
040C243US37|208600|1405
040C243US38|204100|3919
040C243US39|206400|1202
040C243US40|176100|1804
040C243US41|450200|4467
040C243US42|225100|1101
040C243US44|454200|8972
040C243US45|178200|2261
040C243US46|214200|3584
040C243US47|221300|1754
040C243US48|223700|1455
040C243US49|406300|8120
040C243US50|286200|2967
040C243US51|268500|1892
040C243US53|468000|3727
040C243US54|147200|2799
040C243US55|256400|1488
040C243US56|332100|8133
040C243US72|96100|1357
0500000US01001|197900|8280
0500000US01003|287000|6910
0500000US01005|109900|11374
0500000US01007|132600|18638
0500000US01009|169700|5354
0500000US01011|79400|15850
0500000US01013|99700|8484
0500000US01015|149500|6196
0500000US01017|129700|12036
0500000US01019|165900|9786
0500000US01021|142300|15402
0500000US01023|111800|22042
0500000US01025|126400|14098
0500000US01027|144700|19985
0500000US01029|144200|13298
0500000US01031|180300|7387
0500000US01033|161600|8121
0500000US01035|101300|9315
0500000US01037|111800|14340
0500000US01039|142500|12814
0500000US01041|108400|11542
0500000US01043|180500|8186
0500000US01045|129100|9727
0500000US01047|97400|8859
0500000US01049|135500|14323
0500000US01051|213600|7440
0500000US01053|122700|9203
0500000US01055|160600|4895
0500000US01057|121200|9871
0500000US01059|128000|10726
0500000US01061|120200|10010
0500000US01063|86400|16395
0500000US01065|126300|23118
0500000US01067|147800|13014
0500000US01069|178000|3876
0500000US01071|145800|11390
0500000US01073|224900|4360
0500000US01075|112700|7300
0500000US01077|185800|7580
0500000US01079|150700|15108
0500000US01081|238700|7650
0500000US01083|255100|10479
0500000US01085|80600|9262
0500000US01087|95700|5412
0500000US01089|267800|5182
0500000US01091|103400|13105
0500000US01093|104300|8311
0500000US01095|183400|6678
0500000US01097|176600|3645
0500000US01099|114900|8955
0500000US01101|160100|4305
0500000US01103|193000|6229
0500000US01105|87700|14653
0500000US01107|123300|9032
0500000US01109|149000|11162
0500000US01111|184000|12971
0500000US01113|152300|8353
0500000US01115|218500|5740
0500000US01117|298700|4786
0500000US01119|84100|7038
0500000US01121|137900|9063
0500000US01123|144800|14173
0500000US01125|233700|4777
0500000US01127|131100|10803
0500000US01129|152800|16982
0500000US01131|84200|14312
0500000US01133|110500|13397
0500000US02013|144300|30459
0500000US02016|419100|20979
0500000US02020|375900|5631
0500000US02050|120600|20908
0500000US02060|269800|28260
0500000US02063|330900|25644
0500000US02066|246700|27083
0500000US02068|262000|36689
0500000US02070|163800|52290
0500000US02090|282500|8291
0500000US02100|318900|42900
0500000US02105|278300|34663
0500000US02110|432500|16766
0500000US02122|297500|8572
0500000US02130|379000|18695
0500000US02150|382700|40651
0500000US02158|72700|22809
0500000US02164|166100|41564
0500000US02170|319200|5903
0500000US02180|201000|31713
0500000US02185|219600|21400
0500000US02188|162500|21702
0500000US02195|301300|24757
0500000US02198|221800|20960
0500000US02220|442100|16403
0500000US02230|430000|19923
0500000US02240|262800|16249
0500000US02275|289700|31590
0500000US02282|185000|83764
0500000US02290|87800|12087
0500000US04001|68500|5629
0500000US04003|207400|5633
0500000US04005|413200|16076
0500000US04007|247000|13464
0500000US04009|202700|11717
0500000US04011|136300|37471
0500000US04012|117600|8607
0500000US04013|414700|1777
0500000US04015|253200|7812
0500000US04017|186100|13774
0500000US04019|286900|2794
0500000US04021|312100|4876
0500000US04023|216100|7763
0500000US04025|392900|7576
0500000US04027|195700|4050
0500000US05001|129400|13132
0500000US05003|88800|4811
0500000US05005|165400|7993
0500000US05007|285100|5865
0500000US05009|169300|7142
0500000US05011|97000|19525
0500000US05013|97300|11045
0500000US05015|186300|10966
0500000US05017|90500|9520
0500000US05019|147100|12184
0500000US05021|88100|5996
0500000US05023|174600|11335
0500000US05025|123400|12366
0500000US05027|141700|20316
0500000US05029|137000|20724
0500000US05031|198700|7247
0500000US05033|170000|8047
0500000US05035|155100|5964
0500000US05037|104000|14276
0500000US05039|98200|10017
0500000US05041|89100|12335
0500000US05043|127800|16594
0500000US05045|211300|6341
0500000US05047|118800|8073
0500000US05049|107200|10010
0500000US05051|176400|7178
0500000US05053|154500|16128
0500000US05055|162200|7508
0500000US05057|100200|8395
0500000US05059|127900|13925
0500000US05061|135400|13936
0500000US05063|120500|7841
0500000US05065|122100|10295
0500000US05067|87300|5496
0500000US05069|106000|7183
0500000US05071|124800|10978
0500000US05073|74600|8427
0500000US05075|91100|6431
0500000US05077|77900|8302
0500000US05079|106100|14026
0500000US05081|113400|10590
0500000US05083|126900|10193
0500000US05085|184100|6007
0500000US05087|157800|22721
0500000US05089|158400|6852
0500000US05091|148200|14108
0500000US05093|115800|7314
0500000US05095|82200|4351
0500000US05097|136000|32840
0500000US05099|85700|7775
0500000US05101|178800|19775
0500000US05103|99600|14566
0500000US05105|129300|10881
0500000US05107|76200|12383
0500000US05109|115400|8460
0500000US05111|101200|6285
0500000US05113|122600|7486
0500000US05115|161700|6852
0500000US05117|87500|10501
0500000US05119|199600|4612
0500000US05121|118100|9259
0500000US05123|87700|5872
0500000US05125|211700|5935
0500000US05127|110900|10838
0500000US05129|108100|13734
0500000US05131|166000|5966
0500000US05133|111700|9837
0500000US05135|94600|8082
0500000US05137|149400|26132
0500000US05139|114700|6546
0500000US05141|122300|10187
0500000US05143|266000|6183
0500000US05145|159600|5489
0500000US05147|96800|11354
0500000US05149|131300|10062
0500000US06001|1057400|6624
0500000US06003|466100|52099
0500000US06005|422800|15875
0500000US06007|408700|8846
0500000US06009|441800|13276
0500000US06011|375100|25614
0500000US06013|830800|7330
0500000US06015|319600|19952
0500000US06017|640500|9701
0500000US06019|362600|3100
0500000US06021|338400|12427
0500000US06023|418800|8666
0500000US06025|279500|8144
0500000US06027|338400|33507
0500000US06029|310600|3299
0500000US06031|305700|8567
0500000US06033|316800|14527
0500000US06035|259500|11968
0500000US06037|783300|2622
0500000US06039|367700|7576
0500000US06041|1390000|30933
0500000US06043|358000|20202
0500000US06045|486000|14642
0500000US06047|368400|6118
0500000US06049|212000|16946
0500000US06051|514300|73464
0500000US06053|723100|10176
0500000US06055|838800|12579
0500000US06057|602800|10330
0500000US06059|915500|3753
0500000US06061|658800|4467
0500000US06063|327400|20833
0500000US06065|510300|3271
0500000US06067|498900|2777
0500000US06069|751500|23540
0500000US06071|475000|2792
0500000US06073|791600|4893
0500000US06075|1380500|21440
0500000US06077|494500|4724
0500000US06079|777200|13684
0500000US06081|1494500|18389
0500000US06083|735700|11340
0500000US06085|1382800|14622
0500000US06087|1015200|15187
0500000US06089|347200|6603
0500000US06091|334100|50133
0500000US06093|284500|9492
0500000US06095|589600|5068
0500000US06097|779000|8876
0500000US06099|426600|3443
0500000US06101|399400|10475
0500000US06103|315600|12573
0500000US06105|329000|23405
0500000US06107|303000|6300
0500000US06109|406200|15616
0500000US06111|768400|6230
0500000US06113|593800|11285
0500000US06115|380000|12488
0500000US08001|458400|3021
0500000US08003|218800|21223
0500000US08005|526000|5958
0500000US08007|451400|16410
0500000US08009|122000|22458
0500000US08011|137900|26527
0500000US08013|713900|8867
0500000US08014|631600|8349
0500000US08015|598500|27561
0500000US08017|187100|31159
0500000US08019|572800|48243
0500000US08021|162100|12749
0500000US08023|171300|23120
0500000US08025|106700|12274
0500000US08027|358800|36695
0500000US08029|318000|14928
0500000US08031|586700|6888
0500000US08033|231900|17595
0500000US08035|674000|3814
0500000US08037|814700|74122
0500000US08039|664600|17882
0500000US08041|431000|3457
0500000US08043|282100|9947
0500000US08045|490600|19180
0500000US08047|512600|59235
0500000US08049|507200|50846
0500000US08051|597200|47875
0500000US08053|438800|48548
0500000US08055|256700|37763
0500000US08057|250000|104968
0500000US08059|604400|3974
0500000US08061|148600|30604
0500000US08063|221400|23435
0500000US08065|401300|67434
0500000US08067|549100|17287
0500000US08069|532200|7010
0500000US08071|214500|18666
0500000US08073|232100|19228
0500000US08075|228100|12515
0500000US08077|349400|6475
0500000US08079|413000|54241
0500000US08081|262500|14706
0500000US08083|308100|23739
0500000US08085|357900|12598
0500000US08087|299300|14901
0500000US08089|160700|11830
0500000US08091|670100|34129
0500000US08093|489300|14550
0500000US08095|255300|24568
0500000US08097|1131200|155318
0500000US08099|150900|19397
0500000US08101|271800|5598
0500000US08103|243400|20675
0500000US08105|215400|14180
0500000US08107|756200|58926
0500000US08109|200000|30566
0500000US08111|406900|93791
0500000US08113|613100|165694
0500000US08115|142700|11797
0500000US08117|850700|85083
0500000US08119|445000|15774
0500000US08121|218300|14409
0500000US08123|444500|4176
0500000US08125|215600|20584
0500000US09110|298200|2390
0500000US09120|397000|5870
0500000US09130|359000|5040
0500000US09140|290800|3734
0500000US09150|281300|5750
0500000US09160|311700|8796
0500000US09170|328300|4087
0500000US09180|293900|4051
0500000US09190|625400|8022
0500000US10001|290600|5081
